id,engine,query_type,query,target_file,rank,hit,latency_ms,exit,stderr
q0000,sgrep,semantic,code for short domain,opencode/infra/stage.ts,,0,679.46,0,
q0000,rg,semantic,code for short domain,opencode/infra/stage.ts,,0,84.57,1,
q0001,sgrep,semantic,code for short domain,opencode/infra/stage.ts,,0,662.28,0,
q0001,rg,semantic,code for short domain,opencode/infra/stage.ts,,0,38.41,1,
q0002,sgrep,semantic,code for read tracked assets,opencode/nix/scripts/bun-build.ts,,0,884.86,0,
q0002,rg,semantic,code for read tracked assets,opencode/nix/scripts/bun-build.ts,,0,39.5,1,
q0003,sgrep,semantic,code for read tracked assets,opencode/nix/scripts/bun-build.ts,,0,897.28,0,
q0003,rg,semantic,code for read tracked assets,opencode/nix/scripts/bun-build.ts,,0,37.55,1,
q0004,sgrep,semantic,code for remove tracked assets,opencode/nix/scripts/bun-build.ts,10,1,911.97,0,
q0004,rg,semantic,code for remove tracked assets,opencode/nix/scripts/bun-build.ts,,0,40.57,1,
q0005,sgrep,semantic,code for remove tracked assets,opencode/nix/scripts/bun-build.ts,14,1,911.77,0,
q0005,rg,semantic,code for remove tracked assets,opencode/nix/scripts/bun-build.ts,,0,38.38,1,
q0006,sgrep,semantic,code for add asset,opencode/nix/scripts/bun-build.ts,,0,891.62,0,
q0006,rg,semantic,code for add asset,opencode/nix/scripts/bun-build.ts,,0,39.37,1,
q0007,sgrep,semantic,code for add asset,opencode/nix/scripts/bun-build.ts,,0,898.42,0,
q0007,rg,semantic,code for add asset,opencode/nix/scripts/bun-build.ts,,0,75.1,1,
q0008,sgrep,semantic,code for semver module,opencode/nix/scripts/canonicalize-node-modules.ts,,0,900.96,0,
q0008,rg,semantic,code for semver module,opencode/nix/scripts/canonicalize-node-modules.ts,,0,67.35,1,
q0009,sgrep,semantic,code for parse entry,opencode/nix/scripts/canonicalize-node-modules.ts,,0,901.72,0,
q0009,rg,semantic,code for parse entry,opencode/nix/scripts/canonicalize-node-modules.ts,,0,39.83,1,
q0010,sgrep,semantic,code for bun entries,opencode/nix/scripts/normalize-bun-binaries.ts,24,1,911.11,0,
q0010,rg,semantic,code for bun entries,opencode/nix/scripts/normalize-bun-binaries.ts,,0,38.19,1,
q0011,sgrep,semantic,code for collect packages,opencode/nix/scripts/normalize-bun-binaries.ts,,0,926.66,0,
q0011,rg,semantic,code for collect packages,opencode/nix/scripts/normalize-bun-binaries.ts,,0,38.49,1,
q0012,sgrep,semantic,code for top level,opencode/nix/scripts/normalize-bun-binaries.ts,,0,939.97,0,
q0012,rg,semantic,code for top level,opencode/nix/scripts/normalize-bun-binaries.ts,,0,40.02,1,
q0013,sgrep,semantic,code for read manifest,opencode/nix/scripts/normalize-bun-binaries.ts,,0,937.89,0,
q0013,rg,semantic,code for read manifest,opencode/nix/scripts/normalize-bun-binaries.ts,,0,37.38,1,
q0014,sgrep,semantic,code for link binary,opencode/nix/scripts/normalize-bun-binaries.ts,,0,930.46,0,
q0014,rg,semantic,code for link binary,opencode/nix/scripts/normalize-bun-binaries.ts,,0,37.6,1,
q0015,sgrep,semantic,code for is directory,opencode/nix/scripts/normalize-bun-binaries.ts,,0,913.24,0,
q0015,rg,semantic,code for is directory,opencode/nix/scripts/normalize-bun-binaries.ts,,0,36.15,1,
q0016,sgrep,semantic,code for safe read dir,opencode/nix/scripts/normalize-bun-binaries.ts,,0,902.48,0,
q0016,rg,semantic,code for safe read dir,opencode/nix/scripts/normalize-bun-binaries.ts,,0,37.87,1,
q0017,sgrep,semantic,code for normalize bin name,opencode/nix/scripts/normalize-bun-binaries.ts,1,1,925.94,0,
q0017,rg,semantic,code for normalize bin name,opencode/nix/scripts/normalize-bun-binaries.ts,,0,36.24,1,
q0018,sgrep,semantic,code for open terminal,opencode/sdks/vscode/src/extension.ts,,0,904.0,0,
q0018,rg,semantic,code for open terminal,opencode/sdks/vscode/src/extension.ts,,0,38.9,1,
q0019,sgrep,semantic,code for append prompt,opencode/sdks/vscode/src/extension.ts,,0,915.76,0,
q0019,rg,semantic,code for append prompt,opencode/sdks/vscode/src/extension.ts,,0,39.65,1,
q0020,sgrep,semantic,code for get active file,opencode/sdks/vscode/src/extension.ts,,0,914.24,0,
q0020,rg,semantic,code for get active file,opencode/sdks/vscode/src/extension.ts,,0,38.54,1,
q0021,sgrep,semantic,code for get issue number,opencode/.opencode/tool/github-triage.ts,,0,906.6,0,
q0021,rg,semantic,code for get issue number,opencode/.opencode/tool/github-triage.ts,,0,36.8,1,
q0022,sgrep,semantic,code for github fetch,opencode/.opencode/tool/github-triage.ts,,0,904.01,0,
q0022,rg,semantic,code for github fetch,opencode/.opencode/tool/github-triage.ts,,0,40.19,1,
q0023,sgrep,semantic,code for github fetch,opencode/.opencode/tool/github-pr-search.ts,,0,902.31,0,
q0023,rg,semantic,code for github fetch,opencode/.opencode/tool/github-pr-search.ts,,0,38.83,1,
q0024,sgrep,semantic,code for send to post hog,opencode/script/stats.ts,,0,906.42,0,
q0024,rg,semantic,code for send to post hog,opencode/script/stats.ts,,0,38.95,1,
q0025,sgrep,semantic,code for npm downloads range,opencode/script/stats.ts,,0,895.5,0,
q0025,rg,semantic,code for npm downloads range,opencode/script/stats.ts,,0,37.42,1,
q0026,sgrep,semantic,code for fetch npm downloads,opencode/script/stats.ts,,0,1008.93,0,
q0026,rg,semantic,code for fetch npm downloads,opencode/script/stats.ts,,0,41.11,1,
q0027,sgrep,semantic,code for fetch releases,opencode/script/stats.ts,,0,914.97,0,
q0027,rg,semantic,code for fetch releases,opencode/script/stats.ts,,0,38.71,1,
q0028,sgrep,semantic,code for get latest release,opencode/script/changelog.ts,,0,929.74,0,
q0028,rg,semantic,code for get latest release,opencode/script/changelog.ts,,0,40.08,1,
q0029,sgrep,semantic,code for get commits,opencode/script/changelog.ts,,0,925.96,0,
q0029,rg,semantic,code for get commits,opencode/script/changelog.ts,,0,36.47,1,
q0030,sgrep,semantic,code for filter reverted commits,opencode/script/changelog.ts,2,1,915.99,0,
q0030,rg,semantic,code for filter reverted commits,opencode/script/changelog.ts,,0,36.95,1,
q0031,sgrep,semantic,code for get section,opencode/script/changelog.ts,,0,913.09,0,
q0031,rg,semantic,code for get section,opencode/script/changelog.ts,,0,39.53,1,
q0032,sgrep,semantic,code for summarize commit,opencode/script/changelog.ts,,0,936.33,0,
q0032,rg,semantic,code for summarize commit,opencode/script/changelog.ts,,0,36.55,1,
q0033,sgrep,semantic,code for generate changelog,opencode/script/changelog.ts,2,1,933.17,0,
q0033,rg,semantic,code for generate changelog,opencode/script/changelog.ts,,0,36.85,1,
