id,engine,query_type,query,target_file,rank,hit,latency_ms,exit,stderr
q0000,sgrep,semantic,code for short domain,opencode/infra/stage.ts,,0,595.32,0,
q0000,rg,semantic,code for short domain,opencode/infra/stage.ts,,0,41.56,1,
q0001,sgrep,semantic,code for short domain,opencode/infra/stage.ts,,0,592.31,0,
q0001,rg,semantic,code for short domain,opencode/infra/stage.ts,,0,40.81,1,
q0002,sgrep,semantic,code for read tracked assets,opencode/nix/scripts/bun-build.ts,,0,863.6,0,
q0002,rg,semantic,code for read tracked assets,opencode/nix/scripts/bun-build.ts,,0,73.89,1,
q0003,sgrep,semantic,code for read tracked assets,opencode/nix/scripts/bun-build.ts,,0,834.02,0,
q0003,rg,semantic,code for read tracked assets,opencode/nix/scripts/bun-build.ts,,0,38.84,1,
q0004,sgrep,semantic,code for remove tracked assets,opencode/nix/scripts/bun-build.ts,,0,859.93,0,
q0004,rg,semantic,code for remove tracked assets,opencode/nix/scripts/bun-build.ts,,0,40.07,1,
q0005,sgrep,semantic,code for remove tracked assets,opencode/nix/scripts/bun-build.ts,,0,842.82,0,
q0005,rg,semantic,code for remove tracked assets,opencode/nix/scripts/bun-build.ts,,0,37.98,1,
q0006,sgrep,semantic,code for add asset,opencode/nix/scripts/bun-build.ts,,0,840.12,0,
q0006,rg,semantic,code for add asset,opencode/nix/scripts/bun-build.ts,,0,56.83,1,
q0007,sgrep,semantic,code for add asset,opencode/nix/scripts/bun-build.ts,,0,873.03,0,
q0007,rg,semantic,code for add asset,opencode/nix/scripts/bun-build.ts,,0,38.79,1,
q0008,sgrep,semantic,code for semver module,opencode/nix/scripts/canonicalize-node-modules.ts,1,1,833.88,0,
q0008,rg,semantic,code for semver module,opencode/nix/scripts/canonicalize-node-modules.ts,,0,39.59,1,
q0009,sgrep,semantic,code for parse entry,opencode/nix/scripts/canonicalize-node-modules.ts,,0,839.4,0,
q0009,rg,semantic,code for parse entry,opencode/nix/scripts/canonicalize-node-modules.ts,,0,38.01,1,
q0010,sgrep,semantic,code for bun entries,opencode/nix/scripts/normalize-bun-binaries.ts,,0,855.55,0,
q0010,rg,semantic,code for bun entries,opencode/nix/scripts/normalize-bun-binaries.ts,,0,39.99,1,
q0011,sgrep,semantic,code for collect packages,opencode/nix/scripts/normalize-bun-binaries.ts,,0,843.78,0,
q0011,rg,semantic,code for collect packages,opencode/nix/scripts/normalize-bun-binaries.ts,,0,37.28,1,
q0012,sgrep,semantic,code for top level,opencode/nix/scripts/normalize-bun-binaries.ts,,0,849.91,0,
q0012,rg,semantic,code for top level,opencode/nix/scripts/normalize-bun-binaries.ts,,0,39.01,1,
q0013,sgrep,semantic,code for read manifest,opencode/nix/scripts/normalize-bun-binaries.ts,,0,835.16,0,
q0013,rg,semantic,code for read manifest,opencode/nix/scripts/normalize-bun-binaries.ts,,0,38.65,1,
q0014,sgrep,semantic,code for link binary,opencode/nix/scripts/normalize-bun-binaries.ts,,0,834.1,0,
q0014,rg,semantic,code for link binary,opencode/nix/scripts/normalize-bun-binaries.ts,,0,38.38,1,
q0015,sgrep,semantic,code for is directory,opencode/nix/scripts/normalize-bun-binaries.ts,,0,827.12,0,
q0015,rg,semantic,code for is directory,opencode/nix/scripts/normalize-bun-binaries.ts,,0,36.94,1,
q0016,sgrep,semantic,code for safe read dir,opencode/nix/scripts/normalize-bun-binaries.ts,,0,839.22,0,
q0016,rg,semantic,code for safe read dir,opencode/nix/scripts/normalize-bun-binaries.ts,,0,38.97,1,
q0017,sgrep,semantic,code for normalize bin name,opencode/nix/scripts/normalize-bun-binaries.ts,1,1,847.44,0,
q0017,rg,semantic,code for normalize bin name,opencode/nix/scripts/normalize-bun-binaries.ts,,0,38.93,1,
q0018,sgrep,semantic,code for open terminal,opencode/sdks/vscode/src/extension.ts,,0,843.37,0,
