id,engine,query,targets,rank,hit,latency_ms,exit,stderr
q001,sgrep,Where does the server accept live terminal session connections over ws?,packages/opencode/src/server/server.ts,,0,812.87,0,
q001,rg,Where does the server accept live terminal session connections over ws?,packages/opencode/src/server/server.ts,7,1,117.53,0,
q002,sgrep,How are system-wide events pushed to clients in real time?,packages/opencode/src/server/server.ts,,0,854.34,0,
q002,rg,How are system-wide events pushed to clients in real time?,packages/opencode/src/server/server.ts,,0,112.93,0,
q003,sgrep,Where is the endpoint that streams assistant replies back to a session?,packages/opencode/src/server/server.ts,,0,820.96,0,
q003,rg,Where is the endpoint that streams assistant replies back to a session?,packages/opencode/src/server/server.ts,,0,117.16,0,
q004,sgrep,Where is the health check that returns the running version?,packages/opencode/src/server/server.ts,,0,956.48,0,
q004,rg,Where is the health check that returns the running version?,packages/opencode/src/server/server.ts,,0,117.95,0,
q005,sgrep,Where can the API read current user settings?,packages/opencode/src/server/server.ts,,0,806.71,0,
q005,rg,Where can the API read current user settings?,packages/opencode/src/server/server.ts,,0,119.02,0,
q006,sgrep,Where is a new terminal session spawned?,packages/opencode/src/pty/index.ts,,0,860.05,0,
q006,rg,Where is a new terminal session spawned?,packages/opencode/src/pty/index.ts,,0,123.46,0,
q007,sgrep,Where does the server bridge terminal output to a client socket?,packages/opencode/src/pty/index.ts,,0,846.33,0,
q007,rg,Where does the server bridge terminal output to a client socket?,packages/opencode/src/pty/index.ts,,0,118.75,0,
q008,sgrep,"Where is the settings merge order (remote, global, project) decided?",packages/opencode/src/config/config.ts,,0,855.71,0,
q008,rg,"Where is the settings merge order (remote, global, project) decided?",packages/opencode/src/config/config.ts,,0,119.26,0,
q009,sgrep,Where does it scan .opencode folders for extra configuration?,packages/opencode/src/config/config.ts,,0,850.62,0,
q009,rg,Where does it scan .opencode folders for extra configuration?,packages/opencode/src/config/config.ts,,0,119.12,0,
q010,sgrep,Where is the default tool list assembled?,packages/opencode/src/tool/registry.ts,,0,847.55,0,
q010,rg,Where is the default tool list assembled?,packages/opencode/src/tool/registry.ts,,0,121.79,0,
q011,sgrep,Where is web search enabled only for certain providers?,packages/opencode/src/tool/registry.ts,,0,846.5,0,
q011,rg,Where is web search enabled only for certain providers?,packages/opencode/src/tool/registry.ts,,0,117.98,0,
q012,sgrep,Where is external code context retrieval implemented?,packages/opencode/src/tool/codesearch.ts,3,1,841.45,0,
q012,rg,Where is external code context retrieval implemented?,packages/opencode/src/tool/codesearch.ts,,0,118.85,0,
q013,sgrep,Where is the fallback that downloads the rg binary?,packages/opencode/src/file/ripgrep.ts,,0,840.53,0,
q013,rg,Where is the fallback that downloads the rg binary?,packages/opencode/src/file/ripgrep.ts,,0,121.13,0,
q014,sgrep,Where is the TypeScript language server spawned?,packages/opencode/src/lsp/server.ts,,0,853.03,0,
q014,rg,Where is the TypeScript language server spawned?,packages/opencode/src/lsp/server.ts,1,1,118.26,0,
q015,sgrep,Where does it download/install the Vue language server?,packages/opencode/src/lsp/server.ts,4,1,845.81,0,
q015,rg,Where does it download/install the Vue language server?,packages/opencode/src/lsp/server.ts,1,1,119.18,0,
q016,sgrep,Where is the token overflow check that triggers compaction?,packages/opencode/src/session/compaction.ts,1,1,866.26,0,
q016,rg,Where is the token overflow check that triggers compaction?,packages/opencode/src/session/compaction.ts,,0,122.82,0,
q017,sgrep,Where is old tool output pruned during compaction?,packages/opencode/src/session/compaction.ts,1,1,896.57,0,
q017,rg,Where is old tool output pruned during compaction?,packages/opencode/src/session/compaction.ts,,0,125.39,0,
q018,sgrep,Where is the diff summary computed and stored for a session?,packages/opencode/src/session/summary.ts,1,1,869.79,0,
q018,rg,Where is the diff summary computed and stored for a session?,packages/opencode/src/session/summary.ts,,0,120.22,0,
q019,sgrep,Where is the session title generated by an LLM?,packages/opencode/src/session/summary.ts,,0,897.88,0,
q019,rg,Where is the session title generated by an LLM?,packages/opencode/src/session/summary.ts,,0,120.07,0,
q020,sgrep,Where does it refresh the model catalog from the network?,packages/opencode/src/provider/models.ts,,0,957.44,0,
q020,rg,Where does it refresh the model catalog from the network?,packages/opencode/src/provider/models.ts,,0,118.76,0,
q021,sgrep,Where is the OAuth callback handled for a provider?,packages/opencode/src/provider/auth.ts,,0,909.78,0,
q021,rg,Where is the OAuth callback handled for a provider?,packages/opencode/src/provider/auth.ts,,0,119.6,0,
q022,sgrep,Where are provider credentials persisted on disk?,packages/opencode/src/auth/index.ts,,0,915.59,0,
q022,rg,Where are provider credentials persisted on disk?,packages/opencode/src/auth/index.ts,,0,120.73,0,
q023,sgrep,Where is a unique worktree name/branch chosen?,packages/opencode/src/worktree/index.ts,8,1,829.31,0,
q023,rg,Where is a unique worktree name/branch chosen?,packages/opencode/src/worktree/index.ts,,0,122.65,0,
q024,sgrep,Where is git worktree creation invoked?,packages/opencode/src/worktree/index.ts,,0,881.35,0,
q024,rg,Where is git worktree creation invoked?,packages/opencode/src/worktree/index.ts,,0,141.58,0,
q025,sgrep,Where does the project ID come from the git root commit?,packages/opencode/src/project/project.ts,,0,846.77,0,
q025,rg,Where does the project ID come from the git root commit?,packages/opencode/src/project/project.ts,8,1,117.31,0,
q026,sgrep,Where are plugins loaded from config and built-ins?,packages/opencode/src/plugin/index.ts,2,1,905.26,0,
q026,rg,Where are plugins loaded from config and built-ins?,packages/opencode/src/plugin/index.ts,,0,118.29,0,
q027,sgrep,Where does the approval/permission request get created?,packages/opencode/src/permission/next.ts,,0,934.31,0,
q027,rg,Where does the approval/permission request get created?,packages/opencode/src/permission/next.ts,,0,123.26,0,
q028,sgrep,Where is approval reply handling implemented?,packages/opencode/src/permission/next.ts,,0,827.97,0,
q028,rg,Where is approval reply handling implemented?,packages/opencode/src/permission/next.ts,7,1,113.74,0,
q029,sgrep,Where is the user prompt question request emitted?,packages/opencode/src/question/index.ts,,0,832.89,0,
q029,rg,Where is the user prompt question request emitted?,packages/opencode/src/question/index.ts,,0,117.32,0,
q030,sgrep,Where is the preferred shell determined?,packages/opencode/src/shell/shell.ts,,0,873.91,0,
q030,rg,Where is the preferred shell determined?,packages/opencode/src/shell/shell.ts,,0,117.81,0,
q031,sgrep,Where does the API accept updates to configuration settings?,packages/opencode/src/server/server.ts,,0,816.62,0,
q031,rg,Where does the API accept updates to configuration settings?,packages/opencode/src/server/server.ts,,0,117.97,0,
q032,sgrep,Where are legacy tool flags translated into permission rules during prompting?,packages/opencode/src/session/prompt.ts,,0,858.85,0,
q032,rg,Where are legacy tool flags translated into permission rules during prompting?,packages/opencode/src/session/prompt.ts,6,1,120.5,0,
q033,sgrep,Where does prompt handling exit early when no reply is requested?,packages/opencode/src/session/prompt.ts,,0,923.09,0,
q033,rg,Where does prompt handling exit early when no reply is requested?,packages/opencode/src/session/prompt.ts,,0,117.56,0,
q034,sgrep,Where are markdown file references expanded into prompt parts?,packages/opencode/src/session/prompt.ts,,0,884.04,0,
q034,rg,Where are markdown file references expanded into prompt parts?,packages/opencode/src/session/prompt.ts,,0,121.98,0,
q035,sgrep,Where is the list of built-in auth plugins defined?,packages/opencode/src/plugin/index.ts,,0,824.68,0,
q035,rg,Where is the list of built-in auth plugins defined?,packages/opencode/src/plugin/index.ts,,0,119.01,0,
q036,sgrep,Where does the plugin system subscribe to global bus events?,packages/opencode/src/plugin/index.ts,,0,855.35,0,
q036,rg,Where does the plugin system subscribe to global bus events?,packages/opencode/src/plugin/index.ts,6,1,113.24,0,
q037,sgrep,Where is the event payload union schema constructed?,packages/opencode/src/bus/bus-event.ts,1,1,870.78,0,
q037,rg,Where is the event payload union schema constructed?,packages/opencode/src/bus/bus-event.ts,,0,139.81,0,
q038,sgrep,Where is the global event emitter created?,packages/opencode/src/bus/global.ts,,0,866.65,0,
q038,rg,Where is the global event emitter created?,packages/opencode/src/bus/global.ts,,0,117.41,0,
q039,sgrep,Where does storage read JSON records from disk?,packages/opencode/src/storage/storage.ts,1,1,1075.09,0,
q039,rg,Where does storage read JSON records from disk?,packages/opencode/src/storage/storage.ts,,0,114.66,0,
q040,sgrep,Where does storage write JSON records to disk?,packages/opencode/src/storage/storage.ts,1,1,834.2,0,
q040,rg,Where does storage write JSON records to disk?,packages/opencode/src/storage/storage.ts,9,1,115.32,0,
q041,sgrep,Where are worktree names normalized to URL-safe slugs?,packages/opencode/src/worktree/index.ts,3,1,834.34,0,
q041,rg,Where are worktree names normalized to URL-safe slugs?,packages/opencode/src/worktree/index.ts,10,1,118.69,0,
q042,sgrep,Where is Windows process-tree termination handled?,packages/opencode/src/shell/shell.ts,1,1,890.11,0,
q042,rg,Where is Windows process-tree termination handled?,packages/opencode/src/shell/shell.ts,,0,113.72,0,
q043,sgrep,Where does LSP root discovery walk up the filesystem?,packages/opencode/src/lsp/server.ts,1,1,830.86,0,
q043,rg,Where does LSP root discovery walk up the filesystem?,packages/opencode/src/lsp/server.ts,1,1,115.03,0,
q044,sgrep,Where does code search ask for permission before querying?,packages/opencode/src/tool/codesearch.ts,1,1,844.26,0,
q044,rg,Where does code search ask for permission before querying?,packages/opencode/src/tool/codesearch.ts,,0,120.43,0,
