id,engine,query,targets,rank,hit,latency_ms,exit,stderr
q001,sgrep,Where is the PTY WebSocket connection endpoint implemented?,packages/opencode/src/server/server.ts,,0,1493.09,0,
q001,rg,Where is the PTY WebSocket connection endpoint implemented?,packages/opencode/src/server/server.ts,4,1,177.3,0,
q002,sgrep,Where is the global events SSE stream implemented?,packages/opencode/src/server/server.ts,,0,921.77,0,
q002,rg,Where is the global events SSE stream implemented?,packages/opencode/src/server/server.ts,4,1,120.97,0,
q003,sgrep,Where does the server stream session prompt responses?,packages/opencode/src/server/server.ts,,0,906.81,0,
q003,rg,Where does the server stream session prompt responses?,packages/opencode/src/server/server.ts,3,1,119.0,0,
q004,sgrep,Where does the server report health and version info?,packages/opencode/src/server/server.ts,,0,851.26,0,
q004,rg,Where does the server report health and version info?,packages/opencode/src/server/server.ts,8,1,118.43,0,
q005,sgrep,Where is the config GET endpoint implemented?,packages/opencode/src/server/server.ts,,0,826.17,0,
q005,rg,Where is the config GET endpoint implemented?,packages/opencode/src/server/server.ts,4,1,119.33,0,
q006,sgrep,Where is PTY session creation implemented?,packages/opencode/src/pty/index.ts,,0,865.0,0,
q006,rg,Where is PTY session creation implemented?,packages/opencode/src/pty/index.ts,,0,118.79,0,
q007,sgrep,Where is PTY WebSocket bridging (connect) implemented?,packages/opencode/src/pty/index.ts,,0,906.67,0,
q007,rg,Where is PTY WebSocket bridging (connect) implemented?,packages/opencode/src/pty/index.ts,,0,118.67,0,
q008,sgrep,"Where is config precedence (well-known, global, project) implemented?",packages/opencode/src/config/config.ts,,0,824.94,0,
q008,rg,"Where is config precedence (well-known, global, project) implemented?",packages/opencode/src/config/config.ts,2,1,164.54,0,
q009,sgrep,Where are .opencode directories scanned for config/plugins?,packages/opencode/src/config/config.ts,,0,881.18,0,
q009,rg,Where are .opencode directories scanned for config/plugins?,packages/opencode/src/config/config.ts,10,1,136.04,0,
q010,sgrep,Where are built-in tools assembled into the tool list?,packages/opencode/src/tool/registry.ts,,0,863.56,0,
q010,rg,Where are built-in tools assembled into the tool list?,packages/opencode/src/tool/registry.ts,,0,118.66,0,
q011,sgrep,Where is codesearch/websearch enabled only for opencode provider?,packages/opencode/src/tool/registry.ts,,0,885.03,0,
q011,rg,Where is codesearch/websearch enabled only for opencode provider?,packages/opencode/src/tool/registry.ts,,0,122.37,0,
q012,sgrep,Where is the CodeSearch tool (Exa MCP) implemented?,packages/opencode/src/tool/codesearch.ts,1,1,886.17,0,
q012,rg,Where is the CodeSearch tool (Exa MCP) implemented?,packages/opencode/src/tool/codesearch.ts,,0,147.64,0,
q013,sgrep,Where does OpenCode download ripgrep if missing?,packages/opencode/src/file/ripgrep.ts,1,1,868.31,0,
q013,rg,Where does OpenCode download ripgrep if missing?,packages/opencode/src/file/ripgrep.ts,,0,117.99,0,
q014,sgrep,Where is the TypeScript LSP server spawned?,packages/opencode/src/lsp/server.ts,,0,845.49,0,
q014,rg,Where is the TypeScript LSP server spawned?,packages/opencode/src/lsp/server.ts,1,1,119.06,0,
q015,sgrep,Where does Vue LSP get installed if missing?,packages/opencode/src/lsp/server.ts,,0,835.94,0,
q015,rg,Where does Vue LSP get installed if missing?,packages/opencode/src/lsp/server.ts,4,1,117.95,0,
q016,sgrep,Where is session overflow detection for compaction?,packages/opencode/src/session/compaction.ts,1,1,838.05,0,
q016,rg,Where is session overflow detection for compaction?,packages/opencode/src/session/compaction.ts,,0,117.76,0,
q017,sgrep,Where is session tool-output pruning implemented?,packages/opencode/src/session/compaction.ts,5,1,828.72,0,
q017,rg,Where is session tool-output pruning implemented?,packages/opencode/src/session/compaction.ts,,0,154.38,0,
q018,sgrep,Where does session summary compute diffs and store them?,packages/opencode/src/session/summary.ts,1,1,860.73,0,
q018,rg,Where does session summary compute diffs and store them?,packages/opencode/src/session/summary.ts,,0,120.42,0,
q019,sgrep,Where is session title summarization performed?,packages/opencode/src/session/summary.ts,1,1,822.0,0,
q019,rg,Where is session title summarization performed?,packages/opencode/src/session/summary.ts,,0,118.95,0,
q020,sgrep,Where are models refreshed from the models.dev API?,packages/opencode/src/provider/models.ts,3,1,873.01,0,
q020,rg,Where are models refreshed from the models.dev API?,packages/opencode/src/provider/models.ts,,0,115.44,0,
q021,sgrep,Where is provider OAuth callback handled and stored?,packages/opencode/src/provider/auth.ts,1,1,874.52,0,
q021,rg,Where is provider OAuth callback handled and stored?,packages/opencode/src/provider/auth.ts,,0,118.01,0,
q022,sgrep,Where are auth tokens stored on disk?,packages/opencode/src/auth/index.ts,,0,832.9,0,
q022,rg,Where are auth tokens stored on disk?,packages/opencode/src/auth/index.ts,,0,114.2,0,
q023,sgrep,Where is worktree name/branch generation implemented?,packages/opencode/src/worktree/index.ts,,0,834.01,0,
q023,rg,Where is worktree name/branch generation implemented?,packages/opencode/src/worktree/index.ts,,0,122.5,0,
q024,sgrep,Where is git worktree creation executed?,packages/opencode/src/worktree/index.ts,,0,881.65,0,
q024,rg,Where is git worktree creation executed?,packages/opencode/src/worktree/index.ts,,0,117.72,0,
q025,sgrep,Where is project ID derived from the git root commit?,packages/opencode/src/project/project.ts,,0,831.86,0,
q025,rg,Where is project ID derived from the git root commit?,packages/opencode/src/project/project.ts,8,1,113.02,0,
q026,sgrep,Where are plugins loaded (built-in and configured)?,packages/opencode/src/plugin/index.ts,4,1,816.97,0,
q026,rg,Where are plugins loaded (built-in and configured)?,packages/opencode/src/plugin/index.ts,5,1,114.17,0,
q027,sgrep,Where is the permission ask flow implemented?,packages/opencode/src/permission/next.ts,,0,806.06,0,
q027,rg,Where is the permission ask flow implemented?,packages/opencode/src/permission/next.ts,,0,116.36,0,
q028,sgrep,Where is permission reply handling implemented?,packages/opencode/src/permission/next.ts,1,1,817.39,0,
q028,rg,Where is permission reply handling implemented?,packages/opencode/src/permission/next.ts,6,1,119.91,0,
q029,sgrep,Where is user question request handled (Question.ask)?,packages/opencode/src/question/index.ts,,0,832.86,0,
q029,rg,Where is user question request handled (Question.ask)?,packages/opencode/src/question/index.ts,,0,118.35,0,
q030,sgrep,Where is preferred shell selection implemented?,packages/opencode/src/shell/shell.ts,,0,799.4,0,
q030,rg,Where is preferred shell selection implemented?,packages/opencode/src/shell/shell.ts,,0,116.21,0,
q031,sgrep,Where is the config PATCH endpoint implemented?,packages/opencode/src/server/server.ts,,0,803.0,0,
q031,rg,Where is the config PATCH endpoint implemented?,packages/opencode/src/server/server.ts,,0,117.01,0,
q032,sgrep,Where does prompt handling map legacy tools permissions into rules?,packages/opencode/src/session/prompt.ts,,0,828.92,0,
q032,rg,Where does prompt handling map legacy tools permissions into rules?,packages/opencode/src/session/prompt.ts,,0,117.99,0,
q033,sgrep,Where does prompt handling skip reply when noReply is true?,packages/opencode/src/session/prompt.ts,1,1,829.42,0,
q033,rg,Where does prompt handling skip reply when noReply is true?,packages/opencode/src/session/prompt.ts,,0,114.64,0,
q034,sgrep,Where does prompt parsing resolve file references into prompt parts?,packages/opencode/src/session/prompt.ts,5,1,836.18,0,
q034,rg,Where does prompt parsing resolve file references into prompt parts?,packages/opencode/src/session/prompt.ts,,0,114.03,0,
q035,sgrep,Where are built-in plugins listed?,packages/opencode/src/plugin/index.ts,,0,809.63,0,
q035,rg,Where are built-in plugins listed?,packages/opencode/src/plugin/index.ts,4,1,118.52,0,
q036,sgrep,Where does plugin init subscribe to bus events?,packages/opencode/src/plugin/index.ts,,0,828.24,0,
q036,rg,Where does plugin init subscribe to bus events?,packages/opencode/src/plugin/index.ts,9,1,114.74,0,
q037,sgrep,Where does BusEvent build the discriminated union of payloads?,packages/opencode/src/bus/bus-event.ts,1,1,1039.29,0,
q037,rg,Where does BusEvent build the discriminated union of payloads?,packages/opencode/src/bus/bus-event.ts,,0,138.24,0,
q038,sgrep,Where is the global event bus defined?,packages/opencode/src/bus/global.ts,2,1,797.0,0,
q038,rg,Where is the global event bus defined?,packages/opencode/src/bus/global.ts,,0,118.86,0,
q039,sgrep,Where is Storage.read implemented?,packages/opencode/src/storage/storage.ts,,0,832.02,0,
q039,rg,Where is Storage.read implemented?,packages/opencode/src/storage/storage.ts,,0,78.07,0,
q040,sgrep,Where is Storage.write implemented?,packages/opencode/src/storage/storage.ts,,0,837.02,0,
q040,rg,Where is Storage.write implemented?,packages/opencode/src/storage/storage.ts,,0,76.5,0,
q041,sgrep,Where does worktree slugify names?,packages/opencode/src/worktree/index.ts,,0,827.5,0,
q041,rg,Where does worktree slugify names?,packages/opencode/src/worktree/index.ts,9,1,115.97,0,
q042,sgrep,Where is process tree termination handled on Windows?,packages/opencode/src/shell/shell.ts,1,1,828.23,0,
q042,rg,Where is process tree termination handled on Windows?,packages/opencode/src/shell/shell.ts,,0,113.82,0,
q043,sgrep,Where does LSP NearestRoot compute the project root?,packages/opencode/src/lsp/server.ts,1,1,849.76,0,
q043,rg,Where does LSP NearestRoot compute the project root?,packages/opencode/src/lsp/server.ts,1,1,115.12,0,
q044,sgrep,Where does CodeSearchTool request permission before calling Exa?,packages/opencode/src/tool/codesearch.ts,1,1,839.29,0,
q044,rg,Where does CodeSearchTool request permission before calling Exa?,packages/opencode/src/tool/codesearch.ts,,0,116.31,0,
