id,engine,query,targets,rank,hit,latency_ms,exit,stderr
q001,sgrep,Where does the server accept live terminal session connections over ws?,packages/opencode/src/server/server.ts,,0,822.37,0,
q001,rg,Where does the server accept live terminal session connections over ws?,packages/opencode/src/server/server.ts,7,1,157.87,0,
q002,sgrep,How are system-wide events pushed to clients in real time?,packages/opencode/src/server/server.ts,,0,879.58,0,
q002,rg,How are system-wide events pushed to clients in real time?,packages/opencode/src/server/server.ts,,0,114.2,0,
q003,sgrep,Where is the endpoint that streams assistant replies back to a session?,packages/opencode/src/server/server.ts,,0,843.53,0,
q003,rg,Where is the endpoint that streams assistant replies back to a session?,packages/opencode/src/server/server.ts,,0,112.11,0,
q004,sgrep,Where is the health check that returns the running version?,packages/opencode/src/server/server.ts,,0,958.68,0,
q004,rg,Where is the health check that returns the running version?,packages/opencode/src/server/server.ts,,0,116.37,0,
q005,sgrep,Where can the API read current user settings?,packages/opencode/src/server/server.ts,,0,832.58,0,
q005,rg,Where can the API read current user settings?,packages/opencode/src/server/server.ts,,0,117.45,0,
q006,sgrep,Where is a new terminal session spawned?,packages/opencode/src/pty/index.ts,,0,870.39,0,
q006,rg,Where is a new terminal session spawned?,packages/opencode/src/pty/index.ts,,0,118.75,0,
q007,sgrep,Where does the server bridge terminal output to a client socket?,packages/opencode/src/pty/index.ts,,0,870.43,0,
q007,rg,Where does the server bridge terminal output to a client socket?,packages/opencode/src/pty/index.ts,,0,117.13,0,
q008,sgrep,"Where is the settings merge order (remote, global, project) decided?",packages/opencode/src/config/config.ts,,0,866.78,0,
q008,rg,"Where is the settings merge order (remote, global, project) decided?",packages/opencode/src/config/config.ts,,0,113.93,0,
q009,sgrep,Where does it scan .opencode folders for extra configuration?,packages/opencode/src/config/config.ts,,0,871.36,0,
q009,rg,Where does it scan .opencode folders for extra configuration?,packages/opencode/src/config/config.ts,,0,120.0,0,
q010,sgrep,Where is the default tool list assembled?,packages/opencode/src/tool/registry.ts,,0,871.89,0,
q010,rg,Where is the default tool list assembled?,packages/opencode/src/tool/registry.ts,,0,119.19,0,
q011,sgrep,Where is web search enabled only for certain providers?,packages/opencode/src/tool/registry.ts,,0,858.75,0,
q011,rg,Where is web search enabled only for certain providers?,packages/opencode/src/tool/registry.ts,,0,116.21,0,
q012,sgrep,Where is external code context retrieval implemented?,packages/opencode/src/tool/codesearch.ts,3,1,867.1,0,
q012,rg,Where is external code context retrieval implemented?,packages/opencode/src/tool/codesearch.ts,,0,117.84,0,
q013,sgrep,Where is the fallback that downloads the rg binary?,packages/opencode/src/file/ripgrep.ts,,0,858.84,0,
q013,rg,Where is the fallback that downloads the rg binary?,packages/opencode/src/file/ripgrep.ts,,0,113.99,0,
q014,sgrep,Where is the TypeScript language server spawned?,packages/opencode/src/lsp/server.ts,,0,875.14,0,
q014,rg,Where is the TypeScript language server spawned?,packages/opencode/src/lsp/server.ts,1,1,117.17,0,
q015,sgrep,Where does it download/install the Vue language server?,packages/opencode/src/lsp/server.ts,4,1,878.77,0,
q015,rg,Where does it download/install the Vue language server?,packages/opencode/src/lsp/server.ts,1,1,114.4,0,
q016,sgrep,Where is the token overflow check that triggers compaction?,packages/opencode/src/session/compaction.ts,1,1,893.34,0,
q016,rg,Where is the token overflow check that triggers compaction?,packages/opencode/src/session/compaction.ts,,0,109.65,0,
q017,sgrep,Where is old tool output pruned during compaction?,packages/opencode/src/session/compaction.ts,1,1,898.48,0,
q017,rg,Where is old tool output pruned during compaction?,packages/opencode/src/session/compaction.ts,,0,119.53,0,
q018,sgrep,Where is the diff summary computed and stored for a session?,packages/opencode/src/session/summary.ts,1,1,863.42,0,
q018,rg,Where is the diff summary computed and stored for a session?,packages/opencode/src/session/summary.ts,,0,113.43,0,
q019,sgrep,Where is the session title generated by an LLM?,packages/opencode/src/session/summary.ts,,0,838.45,0,
q019,rg,Where is the session title generated by an LLM?,packages/opencode/src/session/summary.ts,,0,118.38,0,
