id,engine,query,targets,rank,hit,latency_ms,exit,stderr
q001,sgrep,Where is the PTY WebSocket connection endpoint implemented?,packages/opencode/src/server/server.ts,,0,1358.84,0,
q001,rg,Where is the PTY WebSocket connection endpoint implemented?,packages/opencode/src/server/server.ts,4,1,162.24,0,
q002,sgrep,Where is the global events SSE stream implemented?,packages/opencode/src/server/server.ts,,0,893.18,0,
q002,rg,Where is the global events SSE stream implemented?,packages/opencode/src/server/server.ts,4,1,114.42,0,
q003,sgrep,Where does the server stream session prompt responses?,packages/opencode/src/server/server.ts,,0,891.95,0,
q003,rg,Where does the server stream session prompt responses?,packages/opencode/src/server/server.ts,3,1,117.25,0,
q004,sgrep,Where does the server report health and version info?,packages/opencode/src/server/server.ts,,0,856.08,0,
q004,rg,Where does the server report health and version info?,packages/opencode/src/server/server.ts,8,1,117.43,0,
q005,sgrep,Where is the config GET endpoint implemented?,packages/opencode/src/server/server.ts,,0,835.73,0,
q005,rg,Where is the config GET endpoint implemented?,packages/opencode/src/server/server.ts,4,1,119.04,0,
q006,sgrep,Where is PTY session creation implemented?,packages/opencode/src/pty/index.ts,,0,880.1,0,
q006,rg,Where is PTY session creation implemented?,packages/opencode/src/pty/index.ts,,0,116.98,0,
q007,sgrep,Where is PTY WebSocket bridging (connect) implemented?,packages/opencode/src/pty/index.ts,,0,891.71,0,
q007,rg,Where is PTY WebSocket bridging (connect) implemented?,packages/opencode/src/pty/index.ts,,0,113.82,0,
q008,sgrep,"Where is config precedence (well-known, global, project) implemented?",packages/opencode/src/config/config.ts,,0,835.18,0,
q008,rg,"Where is config precedence (well-known, global, project) implemented?",packages/opencode/src/config/config.ts,2,1,116.5,0,
q009,sgrep,Where are .opencode directories scanned for config/plugins?,packages/opencode/src/config/config.ts,,0,863.73,0,
q009,rg,Where are .opencode directories scanned for config/plugins?,packages/opencode/src/config/config.ts,10,1,114.04,0,
q010,sgrep,Where are built-in tools assembled into the tool list?,packages/opencode/src/tool/registry.ts,,0,865.45,0,
q010,rg,Where are built-in tools assembled into the tool list?,packages/opencode/src/tool/registry.ts,,0,115.12,0,
q011,sgrep,Where is codesearch/websearch enabled only for opencode provider?,packages/opencode/src/tool/registry.ts,,0,850.03,0,
q011,rg,Where is codesearch/websearch enabled only for opencode provider?,packages/opencode/src/tool/registry.ts,,0,114.99,0,
q012,sgrep,Where is the CodeSearch tool (Exa MCP) implemented?,packages/opencode/src/tool/codesearch.ts,1,1,873.03,0,
q012,rg,Where is the CodeSearch tool (Exa MCP) implemented?,packages/opencode/src/tool/codesearch.ts,,0,114.58,0,
q013,sgrep,Where does OpenCode download ripgrep if missing?,packages/opencode/src/file/ripgrep.ts,1,1,861.53,0,
q013,rg,Where does OpenCode download ripgrep if missing?,packages/opencode/src/file/ripgrep.ts,,0,118.31,0,
q014,sgrep,Where is the TypeScript LSP server spawned?,packages/opencode/src/lsp/server.ts,,0,875.39,0,
q014,rg,Where is the TypeScript LSP server spawned?,packages/opencode/src/lsp/server.ts,1,1,112.79,0,
q015,sgrep,Where does Vue LSP get installed if missing?,packages/opencode/src/lsp/server.ts,,0,872.02,0,
q015,rg,Where does Vue LSP get installed if missing?,packages/opencode/src/lsp/server.ts,4,1,114.7,0,
q016,sgrep,Where is session overflow detection for compaction?,packages/opencode/src/session/compaction.ts,1,1,862.77,0,
q016,rg,Where is session overflow detection for compaction?,packages/opencode/src/session/compaction.ts,,0,118.65,0,
q017,sgrep,Where is session tool-output pruning implemented?,packages/opencode/src/session/compaction.ts,5,1,854.04,0,
q017,rg,Where is session tool-output pruning implemented?,packages/opencode/src/session/compaction.ts,,0,116.64,0,
q018,sgrep,Where does session summary compute diffs and store them?,packages/opencode/src/session/summary.ts,1,1,866.24,0,
q018,rg,Where does session summary compute diffs and store them?,packages/opencode/src/session/summary.ts,,0,118.6,0,
q019,sgrep,Where is session title summarization performed?,packages/opencode/src/session/summary.ts,1,1,857.69,0,
q019,rg,Where is session title summarization performed?,packages/opencode/src/session/summary.ts,,0,117.27,0,
